Date,Open,High,Low,Close,Volume
1/28/2024,65.5,65.5,54.5,55.4,4708
1/29/2024,56.5,56.5,52.0,52.2,5260
1/30/2024,57.2,57.2,52.5,52.9,1150
1/31/2024,57.9,57.9,48.0,50.3,11087
2/1/2024,50.0,50.3,48.1,49.1,13618
2/4/2024,48.2,53.0,48.1,50.3,20642
2/5/2024,53.5,53.5,48.7,49.2,22169
2/6/2024,50.5,50.5,47.0,48.1,18550
2/7/2024,47.0,49.9,46.5,47.0,34901
2/8/2024,49.9,50.0,46.0,46.3,28564
2/11/2024,49.7,49.7,45.0,46.9,14546
2/12/2024,46.3,48.8,46.0,46.8,28543
2/13/2024,47.5,51.4,47.0,51.2,38269
2/14/2024,56.0,56.3,53.0,56.3,44008
2/15/2024,61.9,61.9,61.9,61.9,50972
2/18/2024,67.9,68.0,60.1,67.4,103049
2/19/2024,68.2,68.2,63.1,65.7,26589
2/20/2024,62.1,65.9,62.1,65.2,545
